01/02/1990 9:00 AM : New customer: Lavern, Car: Ursus 11054, Customer registered
01/02/1990 10:48 AM : 1/2/1990 10:48:41 AM -- Work Order: Diagnoze, work cost: 50, part cost: 0

01/02/1990 2:04 PM : 1/2/1990 2:04:49 PM -- Work Order: Replace, work cost: 200, part cost: 100

01/02/1990 5:05 PM : 1/2/1990 5:05:00 PM -- Work Order: Modify, work cost: 500, part cost: 1230

01/02/1990 5:21 PM : New customer: Lavern, Car: Toyota Tacoma, Customer registered
01/02/1990 7:09 PM : 1/2/1990 7:09:33 PM -- Work Order: Diagnoze, work cost: 50, part cost: 0

01/02/1990 10:23 PM : 1/2/1990 10:23:42 PM -- Work Order: Repair, work cost: 250, part cost: 0

01/03/1990 1:23 AM : 1/3/1990 1:23:58 AM -- Work Order: Repair, work cost: 250, part cost: 0

01/03/1990 11:12 AM : 1/3/1990 11:12:07 AM -- Work Order: Repair, work cost: 250, part cost: 0

01/03/1990 2:12 PM : 1/3/1990 2:12:21 PM -- Work Order: Replace, work cost: 200, part cost: 3000

01/03/1990 5:12 PM : 1/3/1990 5:12:42 PM -- Work Order: ReplaceLiquid, work cost: 50, part cost: 0

01/03/1990 5:28 PM : New customer: Jim, Car: Buggy, Customer registered
01/03/1990 7:16 PM : 1/3/1990 7:16:21 PM -- Work Order: Diagnoze, work cost: 50, part cost: 0

01/03/1990 10:31 PM : 1/3/1990 10:31:28 PM -- Work Order: Repair, work cost: 250, part cost: 0

01/04/1990 1:31 AM : 1/4/1990 1:31:46 AM -- Work Order: Replace, work cost: 200, part cost: 200

01/04/1990 8:08 AM : New customer: Johnathon, Car: Toyota Tacoma, Customer registered
01/04/1990 9:57 AM : 1/4/1990 9:57:09 AM -- Work Order: Diagnoze, work cost: 50, part cost: 0

01/04/1990 1:11 PM : 1/4/1990 1:11:05 PM -- Work Order: Replace, work cost: 200, part cost: 50

01/04/1990 4:11 PM : 1/4/1990 4:11:10 PM -- Work Order: ReplaceLiquid, work cost: 50, part cost: 0

01/04/1990 4:26 PM : New customer: Efrain, Car: Lohr, Customer registered
01/04/1990 6:15 PM : 1/4/1990 6:15:00 PM -- Work Order: Diagnoze, work cost: 50, part cost: 0

01/04/1990 9:29 PM : 1/4/1990 9:29:49 PM -- Work Order: Repair, work cost: 250, part cost: 0

01/05/1990 12:29 AM : 1/5/1990 12:29:56 AM -- Work Order: Replace, work cost: 200, part cost: 100

01/05/1990 8:06 AM : New customer: Anderson, Car: Emergency 911 Ambulance, Customer registered
01/05/1990 9:55 AM : 1/5/1990 9:55:00 AM -- Work Order: Diagnoze, work cost: 50, part cost: 0

01/05/1990 1:09 PM : 1/5/1990 1:09:50 PM -- Work Order: Repair, work cost: 250, part cost: 0

